"species","longitude","latitude","geometry"
"flexuosus",-108.742488,32.643112,"POINT (-108.7425 32.64311)"
"flexuosus",-114.526056,36.471936,"POINT (-114.5261 36.47194)"
"flexuosus",-114.52346,36.485859,"POINT (-114.5235 36.48586)"
"flexuosus",-114.526149,36.471789,"POINT (-114.5261 36.47179)"
"flexuosus",-115.344951,36.227887,"POINT (-115.345 36.22789)"
"flexuosus",-111.211792,33.669697,"POINT (-111.2118 33.6697)"
"flexuosus",-115.689758,36.148597,"POINT (-115.6898 36.1486)"
"flexuosus",-111.211792,33.669697,"POINT (-111.2118 33.6697)"
"flexuosus",-113.799317,36.96077,"POINT (-113.7993 36.96077)"
"flexuosus",-108.930055,32.669387,"POINT (-108.9301 32.66939)"
"flexuosus",-111.868125,34.897257,"POINT (-111.8681 34.89726)"
"flexuosus",-111.659525,34.91991,"POINT (-111.6595 34.91991)"
"flexuosus",-111.984713,34.870637,"POINT (-111.9847 34.87064)"
"flexuosus",-108.664256,32.73318,"POINT (-108.6643 32.73318)"
"flexuosus",-113.00376,37.18284,"POINT (-113.0038 37.18284)"
"flexuosus",-113.00506,37.18437,"POINT (-113.0051 37.18437)"
"flexuosus",-113.0068,37.18546,"POINT (-113.0068 37.18546)"
"flexuosus",-112.97512,37.21666,"POINT (-112.9751 37.21666)"
"flexuosus",-114.525932,36.487059,"POINT (-114.5259 36.48706)"
"flexuosus",-112.99988,37.19991,"POINT (-112.9999 37.19991)"
"flexuosus",-111.854874,34.573913,"POINT (-111.8549 34.57391)"
"flexuosus",-112.99951,37.19934,"POINT (-112.9995 37.19934)"
"flexuosus",-114.148086,36.428692,"POINT (-114.1481 36.42869)"
"flexuosus",-113.62786,37.08949,"POINT (-113.6279 37.08949)"
"flexuosus",-113.3561,34.55982,"POINT (-113.3561 34.55982)"
"flexuosus",-115.612652,38.05467,"POINT (-115.6127 38.05467)"
"flexuosus",-113.153847,37.142039,"POINT (-113.1538 37.14204)"
"flexuosus",-113.289239,37.328933,"POINT (-113.2892 37.32893)"
"flexuosus",-113.311958,37.279125,"POINT (-113.312 37.27913)"
"flexuosus",-111.852014,37.119728,"POINT (-111.852 37.11973)"
"flexuosus",-113.625358,37.052364,"POINT (-113.6254 37.05236)"
"flexuosus",-111.369683,34.036636,"POINT (-111.3697 34.03664)"
"flexuosus",-113.572281,37.223836,"POINT (-113.5723 37.22384)"
"flexuosus",-113.628472,37.053517,"POINT (-113.6285 37.05352)"
"flexuosus",-113.590064,37.080339,"POINT (-113.5901 37.08034)"
"flexuosus",-113.582053,37.197017,"POINT (-113.5821 37.19702)"
